"REF_DATE","GEO","DGUID","Wages","Type of work","National Occupational Classification (NOC)","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997","Ontario","2016A000235","Average hourly gender wage ratio","Full-time employees","Total employees, all occupations","Males","55 years and over","Ratio","271","units","0","v1063670778","7.6.2.1.2.4","","..","","","2"
"1998","Ontario","2016A000235","Average hourly gender wage ratio","Full-time employees","Total employees, all occupations","Males","55 years and over","Ratio","271","units","0","v1063670778","7.6.2.1.2.4","","..","","","2"
"1999","Ontario","2016A000235","Average hourly gender wage ratio","Full-time employees","Total employees, all occupations","Males","55 years and over","Ratio","271","units","0","v1063670778","7.6.2.1.2.4","","..","","","2"
"2000","Ontario","2016A000235","Average hourly gender wage ratio","Full-time employees","Total employees, all occupations","Males","55 years and over","Ratio","271","units","0","v1063670778","7.6.2.1.2.4","","..","","","2"
"2001","Ontario","2016A000235","Average hourly gender wage ratio","Full-time employees","Total employees, all occupations","Males","55 years and over","Ratio","271","units","0","v1063670778","7.6.2.1.2.4","","..","","","2"
"2002","Ontario","2016A000235","Average hourly gender wage ratio","Full-time employees","Total employees, all occupations","Males","55 years and over","Ratio","271","units","0","v1063670778","7.6.2.1.2.4","","..","","","2"
"2003","Ontario","2016A000235","Average hourly gender wage ratio","Full-time employees","Total employees, all occupations","Males","55 years and over","Ratio","271","units","0","v1063670778","7.6.2.1.2.4","","..","","","2"
"2004","Ontario","2016A000235","Average hourly gender wage ratio","Full-time employees","Total employees, all occupations","Males","55 years and over","Ratio","271","units","0","v1063670778","7.6.2.1.2.4","","..","","","2"
"2005","Ontario","2016A000235","Average hourly gender wage ratio","Full-time employees","Total employees, all occupations","Males","55 years and over","Ratio","271","units","0","v1063670778","7.6.2.1.2.4","","..","","","2"
"2006","Ontario","2016A000235","Average hourly gender wage ratio","Full-time employees","Total employees, all occupations","Males","55 years and over","Ratio","271","units","0","v1063670778","7.6.2.1.2.4","","..","","","2"
"2007","Ontario","2016A000235","Average hourly gender wage ratio","Full-time employees","Total employees, all occupations","Males","55 years and over","Ratio","271","units","0","v1063670778","7.6.2.1.2.4","","..","","","2"
"2008","Ontario","2016A000235","Average hourly gender wage ratio","Full-time employees","Total employees, all occupations","Males","55 years and over","Ratio","271","units","0","v1063670778","7.6.2.1.2.4","","..","","","2"
"2009","Ontario","2016A000235","Average hourly gender wage ratio","Full-time employees","Total employees, all occupations","Males","55 years and over","Ratio","271","units","0","v1063670778","7.6.2.1.2.4","","..","","","2"
"2010","Ontario","2016A000235","Average hourly gender wage ratio","Full-time employees","Total employees, all occupations","Males","55 years and over","Ratio","271","units","0","v1063670778","7.6.2.1.2.4","","..","","","2"
"2011","Ontario","2016A000235","Average hourly gender wage ratio","Full-time employees","Total employees, all occupations","Males","55 years and over","Ratio","271","units","0","v1063670778","7.6.2.1.2.4","","..","","","2"
"2012","Ontario","2016A000235","Average hourly gender wage ratio","Full-time employees","Total employees, all occupations","Males","55 years and over","Ratio","271","units","0","v1063670778","7.6.2.1.2.4","","..","","","2"
