"REF_DATE","GEO","DGUID","Wages","Type of work","National Occupational Classification (NOC)","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008","Ontario","2016A000235","Average hourly gender wage ratio","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Ratio","271","units","0","v1063670777","7.6.2.1.2.3","","..","","","2"
"2009","Ontario","2016A000235","Average hourly gender wage ratio","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Ratio","271","units","0","v1063670777","7.6.2.1.2.3","","..","","","2"
"2010","Ontario","2016A000235","Average hourly gender wage ratio","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Ratio","271","units","0","v1063670777","7.6.2.1.2.3","","..","","","2"
"2011","Ontario","2016A000235","Average hourly gender wage ratio","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Ratio","271","units","0","v1063670777","7.6.2.1.2.3","","..","","","2"
"2012","Ontario","2016A000235","Average hourly gender wage ratio","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Ratio","271","units","0","v1063670777","7.6.2.1.2.3","","..","","","2"
"2013","Ontario","2016A000235","Average hourly gender wage ratio","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Ratio","271","units","0","v1063670777","7.6.2.1.2.3","","..","","","2"
"2014","Ontario","2016A000235","Average hourly gender wage ratio","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Ratio","271","units","0","v1063670777","7.6.2.1.2.3","","..","","","2"
"2015","Ontario","2016A000235","Average hourly gender wage ratio","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Ratio","271","units","0","v1063670777","7.6.2.1.2.3","","..","","","2"
"2016","Ontario","2016A000235","Average hourly gender wage ratio","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Ratio","271","units","0","v1063670777","7.6.2.1.2.3","","..","","","2"
"2017","Ontario","2016A000235","Average hourly gender wage ratio","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Ratio","271","units","0","v1063670777","7.6.2.1.2.3","","..","","","2"
"2018","Ontario","2016A000235","Average hourly gender wage ratio","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Ratio","271","units","0","v1063670777","7.6.2.1.2.3","","..","","","2"
"2019","Ontario","2016A000235","Average hourly gender wage ratio","Full-time employees","Total employees, all occupations","Males","25 to 54 years","Ratio","271","units","0","v1063670777","7.6.2.1.2.3","","..","","","2"
